Nome   ;sample name  ;Substance;tested date;published date ;location;
3008;Yellow Leux;TFMPP;Dec 13 2013;Dec 13 2013;San Diego, CA;
3009;Blue Armani;MDA;Dec 13, 2013;Dec 13, 2013;Albuquerque, NM;
3010;Blue Circles;MDMA;Dec 13, 2013;Dec 13, 2013;Melrose Park, IL;
3015;Super Mario;Caffeine;Dec 24, 2013;Dec 24, 2013;San Francisco, CA;
3016;Gucci;Caffeine;Dec 24, 2013;Dec 24, 2013;San Francisco, CA;
3017;Airplane;TFMPP;Dec 24, 2013;Dec 24, 2013;San Francisco, CA;
3018;White Puma;Caffeine;Dec 24, 2013;Dec 24, 2013;San Francisco, CA;
3019;Gucci;Caffeine;Dec 24, 2013;Dec 24, 2013;San Francisco, CA;
3022;Green Rolex;Caffeine/MDMA;Dec 24, 2013;Dec 24, 2013;Switzerland;
3024;Yellow Tablet;Tadalafil;Jan 07, 2014;Jan 07, 2014;Montreal, Quebec, Canada;
3026;White Tablet;Palmitic Acid;Jan 07, 2014;Jan 07, 2014;Richmond, VA;
3031;Red Mitsubishi;Caffeine/Methamphetamine;Jan 07, 2014;Jan 07, 2014;San Francisco, CA;
3032;White Lightning Bolt;MDA/Caffeine;Jan 07, 2014;Jan 07, 2014;San Francisco, CA;
3033;Triangles;MDMA;Jul 01, 2015;Jul 01, 2015;Los Angeles, CA;
3034;Playboy;MDMA/Caffeine;Jan 17, 2014;Jan 17, 2014;Zurich, Switzerland;
3037;Monopoly Guy;TFMPP/Lidocaine/Dibenzylpiperazine;Jan 22, 2014;Jan 22, 2014;San Francisco, CA;
3038;Honda;TFMPP/Lidocaine/Dibenzylpiperazine/Methamphetamine;Jan 22, 2014;Jan 22, 2014;San Francisco, CA;
3039;Pink Man;MBZP/TFMPP;Jan 22, 2014;Jan 22, 2014;San Francisco, CA;
3041;Green PGP;TFMPP/Diphenhydramine/BZP/Methadone;Jan 22, 2014;Jan 22, 2014;New York, NY  ;
3050;Puma;MDMA/Methamphetamine;Feb 02, 2014;Feb 02, 2014;San Francisco, CA;
3052;Star;Caffeine;Feb 02, 2014;Feb 02, 2014;Ireland;
3055;Yellow Tablet;Meloxicam;Feb 02, 2014;Feb 02, 2014;Queens, NY;
3060;White Tablet;Dexamethasone;Feb 02, 2015;Feb 02, 2015;Queens, NY;
3061;PP;MDMA/Amphetamines/Caffeine;Feb 03, 2014;Feb 03, 2014;Zurich, Switzerland;
3062;Bitcoin;MDMA/Methylenedioxydimethylamphetamine;Jan 25, 2014;Feb 03, 2014;Zurich, Switzerland;
3063;Triangles;MDMA;Jan 25, 2014;Feb 03, 2014;Zurich, Switzerland  ;
3065;Green Aliens;MDMA/MDA;Feb 10, 2014;Feb 10, 2014;Sacramento, CA  ;
3066;White Thumbs;MDMA/MDA;Feb 10, 2014;Feb 10, 2014;Sacramento, CA;
3067;Blue Mac;MDMA/MDA;Feb 10, 2014;Feb 10, 2014;Sacramento, CA;
3068;Blue Euros;MDMA/MDMA Methylene  homolog/Caffeine/Methamphetamine;Feb 10, 2014;Feb 10, 2014;Sacramento, CA;
3071;Red Superman;MDMA;Feb 17, 2014;Feb 17, 2014;Netherlands;
3074;Blue Circle;MDMA/Methylsulfonylmethane;Feb 17, 2014;Feb 17, 2014;Chicago, IL;
3075;Blue Diamonds;MDMA;Feb 17, 2014;Feb 17, 2014;Online, Unknown;
3076;New York Yankees;Benocyclidine/Caffeine;Feb 17, 2014;Feb 17, 2014;Hartford, CT;
3078;Mercedes;MDMA;Feb 20, 2014;Feb 20, 2014;Zurich, Switzerland;
3079;Green Android;MDMA;Feb 20, 2014;Feb 20, 2014;Zurich, Switzerland;
3081;Green Tablet;2C-B/Caffeine/MDMA;Feb 20, 2014;Feb 20, 2014;Zurich, Switzerland;
3086;Pink Mortal Kombat;MDMA;Feb 23, 2014;Feb 23, 2014;Glasgow, Scotland;
3087; Red Mortal Kombat  ;MDMA;Feb 23, 2014;Feb 23, 2014;Scotland;
2843; Mortal Kombat 2;MDMA;Aug 13, 2013;Aug 13, 2013;Lanarkshire, Scotland;
2844; Mortal Kombat 1;MDMA;Aug 13, 2013;Aug 13, 2013;Glasgow, Scotland;
3088;Red Cross Tablet;Tramadol;Feb 23, 2014;Feb 23, 2014;Chicago, IL;
3089;Onax;Ketamine;Feb 23, 2014;Feb 23, 2014;Phillipines;
3092;Yellow Scored Tablet; Melatonin;Mar 03, 2014;Mar 03, 2014;Montreal, Quebec, Canada;
3095;White Scored Tablet;Codeine/Acetaminophen;Mar 03, 2014;Mar 03, 2014;Online;
3096;Football;MDMA/Synthesis Byproducts;Mar 03, 2014;Mar 03, 2014;Los Angeles, CA;
3097;Blue Mushroom;MDMA;Mar 03, 2014;Mar 03, 2014;Zurich, Switzerland;
3098;Eye of the Pharaoh;2C-B;Mar 07, 2014;Mar 07, 2014;Zurich, Switzerland;
3100;White Tablet;2C-T-2;Mar 14, 2014;Mar 14, 2014;Trinidad, CA;
3101;Green Guys Tablet;Bromazepam;Mar 14, 2014;Mar 14, 2014;Washington, DC;
3103;Pink Hello Kitty;Methylone;Mar 14, 2014;Mar 14, 2014;New York, NY;
3104;Yellow Pac Man;MDMA/Caffeine;Mar 14, 2014;Mar 14, 2014;New York, NY;
3105;Blue Heart;MDMA/Caffeine;Mar 14, 2014;Mar 14, 2014;New York, NY;
3106;Blue Playboy; 5-MeO-MIPT;Mar 14, 2014;Mar 14, 2014;New York, NY;
3111;Modvigil;Modafinil;Mar 23, 2014;Mar 23, 2014;Online, India;
3112;Blue Monster;MDMA/Caffeine;Mar 23, 2014;Mar 23, 2014;San Francisco, CA;
3117;Domino;MDMA;Apr 05, 2014;Apr 05, 2014;Detroit, MI;
3118;Clomid;Clomifene;Apr 05, 2014;Apr 05, 2014;Vero Beach, FL;
