index;name;sample_name;substance;tested_date;published_date;location;latitude;longitude
0;3008;Yellow Leux;TFMPP;2013-12-13;2013-12-13;San Diego, CA;32.715;-117.257
1;3009;Blue Armani;MDA;2013-12-13;2013-12-13;Albuquerque, NM;35.113;-106.621
2;3010;Blue Circles;MDMA;2013-12-13;2013-12-13;Melrose Park, IL;41.9;-87.856
3;3015;Super Mario;Caffeine;2013-12-24;2013-12-24;San Francisco, CA;37.774;-122.419
4;3016;Gucci;Caffeine;2013-12-24;2013-12-24;San Francisco, CA;37.774;-122.419
5;3017;Airplane;TFMPP;2013-12-24;2013-12-24;San Francisco, CA;37.774;-122.419
6;3018;White Puma;Caffeine;2013-12-24;2013-12-24;San Francisco, CA;37.774;-122.419
7;3019;Gucci;Caffeine;2013-12-24;2013-12-24;San Francisco, CA;37.774;-122.419
8;3022;Green Rolex;Caffeine/MDMA;2013-12-24;2013-12-24;Switzerland;46.818;8.227
9;3024;Yellow Tablet;Tadalafil;2014-01-07;2014-01-07;Montreal, Quebec, Canada;45.501;-73.567
10;3026;White Tablet;Palmitic Acid;2014-01-07;2014-01-07;Richmond, VA;37.54;-77.436
11;3031;Red Mitsubishi;Caffeine/Methamphetamine;2014-01-07;2014-01-07;San Francisco, CA;37.774;-122.419
12;3032;White Lightning Bolt;MDA/Caffeine;2014-01-07;2014-01-07;San Francisco, CA;37.774;-122.419
13;3033;Triangles;MDMA;2015-07-01;2015-07-01;Los Angeles, CA;34.052;-118.243
14;3034;Playboy;MDMA/Caffeine;2014-01-17;2014-01-17;Zurich, Switzerland;46.818;8.227
15;3037;Monopoly Guy;TFMPP/Lidocaine/Dibenzylpiperazine;2014-01-22;2014-01-22;San Francisco, CA;37.774;-122.419
16;3038;Honda;TFMPP/Lidocaine/Dibenzylpiperazine/Methamphetamine;2014-01-22;2014-01-22;San Francisco, CA;37.774;-122.419
17;3039;Pink Man;MBZP/TFMPP;2014-01-22;2014-01-22;San Francisco, CA;37.774;-122.419
18;3041;Green PGP;TFMPP/Diphenhydramine/BZP/Methadone;2014-01-22;2014-01-22;New York, NY  ;40.712;-74.006
19;3050;Puma;MDMA/Methamphetamine;2014-02-02;2014-02-02;San Francisco, CA;37.774;-122.419
20;3052;Star;Caffeine;2014-02-02;2014-02-02;Ireland;53.142;7.692
21;3055;Yellow Tablet;Meloxicam;2014-02-02;2014-02-02;Queens, NY;31.394;-73.769
22;3060;White Tablet;Dexamethasone;2015-02-02;2015-02-02;Queens, NY;31.395;-73.77
23;3061;PP;MDMA/Amphetamines/Caffeine;2014-02-03;2014-02-03;Zurich, Switzerland;46.818;8.227
24;3062;Bitcoin;MDMA/Methylenedioxydimethylamphetamine;2014-01-25;2014-02-03;Zurich, Switzerland;46.818;8.227
25;3063;Triangles;MDMA;2014-01-25;2014-02-03;Zurich, Switzerland  ;46.818;8.227
26;3065;Green Aliens;MDMA/MDA;2014-02-10;2014-02-10;Sacramento, CA  ;38.581;-121.494
27;3066;White Thumbs;MDMA/MDA;2014-02-10;2014-02-10;Sacramento, CA;38.581;-121.494
28;3067;Blue Mac;MDMA/MDA;2014-02-10;2014-02-10;Sacramento, CA;38.581;-121.494
